Java HotSpot(TM) 64-Bit Server VM (25.91-b15) for windows-amd64 JRE (1.8.0_91-b15), built on May 20 2016 17:43:15 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 8068924k(2780468k free), swap 16135988k(5151288k free)
CommandLine flags: -XX:CMSInitiatingOccupancyFraction=75 -XX:+DisableExplicitGC -XX:+HeapDumpOnOutOfMemoryError -XX:InitialHeapSize=268435456 -XX:MaxHeapSize=4294967296 -XX:MaxMetaspaceSize=1073741824 -XX:MaxNewSize=1073741824 -XX:MetaspaceSize=134217728 -XX:NewSize=134217728 -XX:OldPLABSize=16 -XX:+PrintGC -XX:+PrintGCTimeStamps -XX:SurvivorRatio=4 -XX:TargetSurvivorRatio=90 -XX:+UseCMSInitiatingOccupancyOnly -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:-UseLargePagesIndividualAllocation -XX:+UseParNewGC 
1.372: [GC (Allocation Failure)  87424K->10885K(240320K), 0.0060596 secs]
1.442: [GC (Allocation Failure)  98309K->21031K(240320K), 0.0098350 secs]
1.495: [GC (Allocation Failure)  87371K->21111K(240320K), 0.0099729 secs]
1.539: [GC (Allocation Failure)  108535K->60784K(240320K), 0.0165277 secs]
1.592: [GC (Allocation Failure)  148208K->60718K(240320K), 0.0007620 secs]
1.620: [GC (Allocation Failure)  119912K->60702K(240320K), 0.0006080 secs]
1.640: [GC (Allocation Failure)  148126K->140572K(320196K), 0.0326670 secs]
1.713: [GC (Allocation Failure)  227996K->140572K(320196K), 0.0010424 secs]
1.749: [GC (Allocation Failure)  227996K->140570K(320196K), 0.0010140 secs]
1.783: [GC (Allocation Failure)  227994K->140572K(320196K), 0.0011167 secs]
1.818: [GC (Allocation Failure)  227996K->140572K(320196K), 0.0009997 secs]
1.828: [GC (Allocation Failure)  165014K->140572K(320196K), 0.0009878 secs]
1.829: [Full GC (Allocation Failure)  140572K->80654K(320196K), 0.0187984 secs]
1.943: [GC (Allocation Failure)  327822K->240404K(479944K), 0.0047418 secs]
1.992: [GC (Allocation Failure)  327828K->240405K(479944K), 0.0012123 secs]
2.029: [GC (Allocation Failure)  327829K->240404K(479944K), 0.0012091 secs]
2.073: [GC (Allocation Failure)  327828K->240404K(479944K), 0.0011167 secs]
2.107: [GC (Allocation Failure)  327828K->240404K(479944K), 0.0011257 secs]
2.143: [GC (Allocation Failure)  327828K->240404K(479944K), 0.0012316 secs]
2.180: [GC (Allocation Failure)  327828K->240404K(479944K), 0.0010859 secs]
2.219: [GC (Allocation Failure)  327828K->240404K(479944K), 0.0011040 secs]
2.251: [GC (Allocation Failure)  315587K->240402K(479944K), 0.0014275 secs]
2.252: [Full GC (Allocation Failure)  240402K->160528K(479944K), 0.0363660 secs]
2.463: [GC (Allocation Failure)  603728K->480020K(844748K), 0.0120737 secs]
2.528: [GC (Allocation Failure)  603732K->480020K(844748K), 0.0024485 secs]
2.580: [GC (Allocation Failure)  603732K->480020K(844748K), 0.0026004 secs]
2.629: [GC (Allocation Failure)  603732K->480020K(844748K), 0.0025002 secs]
2.680: [GC (Allocation Failure)  603732K->480020K(844748K), 0.0023955 secs]
2.730: [GC (Allocation Failure)  603732K->480018K(844748K), 0.0024904 secs]
2.779: [GC (Allocation Failure)  603730K->480020K(844748K), 0.0024604 secs]
2.831: [GC (Allocation Failure)  603732K->480020K(844748K), 0.0020819 secs]
2.879: [GC (Allocation Failure)  603732K->480020K(844748K), 0.0020548 secs]
2.927: [GC (Allocation Failure)  603732K->480020K(844748K), 0.0020987 secs]
2.975: [GC (Allocation Failure)  603732K->480020K(844748K), 0.0021467 secs]
3.035: [GC (Allocation Failure)  603732K->480022K(844748K), 0.0017744 secs]
3.068: [GC (Allocation Failure)  549299K->480022K(844748K), 0.0015416 secs]
3.070: [Full GC (Allocation Failure)  480022K->320272K(844748K), 0.0931927 secs]
3.517: [GC (Allocation Failure)  1189456K->959252K(1616848K), 0.0190895 secs]
3.627: [GC (Allocation Failure)  1189460K->959256K(1616848K), 0.0030569 secs]
3.741: [GC (Allocation Failure)  1189464K->959254K(1616848K), 0.0034096 secs]
3.883: [GC (Allocation Failure)  1189462K->959252K(1616848K), 0.0052583 secs]
4.035: [GC (Allocation Failure)  1189460K->959252K(1616848K), 0.0045825 secs]
4.206: [GC (Allocation Failure)  1189460K->959250K(1616848K), 0.0094355 secs]
4.324: [GC (Allocation Failure)  1189458K->959252K(1616848K), 0.0065761 secs]
4.426: [GC (Allocation Failure)  1189460K->959250K(1616848K), 0.0047681 secs]
4.546: [GC (Allocation Failure)  1189458K->959663K(1616848K), 0.0054791 secs]
4.751: [GC (Allocation Failure)  1189871K->959838K(1616848K), 0.0129744 secs]
4.942: [GC (Allocation Failure)  1190046K->959921K(1616848K), 0.0064024 secs]
5.127: [GC (Allocation Failure)  1190129K->959854K(1616848K), 0.0044647 secs]
5.305: [GC (Allocation Failure)  1190062K->960049K(1616848K), 0.0047032 secs]
5.405: [GC (Allocation Failure)  1088596K->959912K(1616848K), 0.0044573 secs]
5.410: [Full GC (Allocation Failure)  959912K->640275K(1616848K), 0.2030794 secs]
7.039: [GC (Allocation Failure)  2361427K->1918730K(3161044K), 0.0433535 secs]
7.463: [GC (Allocation Failure)  2361930K->1918780K(3161044K), 0.0132618 secs]
7.884: [GC (Allocation Failure)  2361980K->1919031K(3161044K), 0.0195481 secs]
8.376: [GC (Allocation Failure)  2362231K->1919081K(3161044K), 0.0190928 secs]
8.749: [GC (Allocation Failure)  2362281K->1919236K(3161044K), 0.0104089 secs]
9.218: [GC (Allocation Failure)  2362436K->1919094K(3161044K), 0.0121148 secs]
9.707: [GC (Allocation Failure)  2362294K->1919030K(3161044K), 0.0559798 secs]
10.172: [GC (Allocation Failure)  2362230K->1919096K(3161044K), 0.0106750 secs]
10.497: [GC (Allocation Failure)  2362296K->1919129K(3161044K), 0.0095156 secs]
10.768: [GC (Allocation Failure)  2362329K->1919156K(3161044K), 0.0115868 secs]
11.128: [GC (Allocation Failure)  2362356K->1919349K(3161044K), 0.0306393 secs]
11.436: [GC (Allocation Failure)  2362549K->1919171K(3161044K), 0.0100899 secs]
11.827: [GC (Allocation Failure)  2362371K->1919087K(3161044K), 0.0125081 secs]
12.059: [GC (Allocation Failure)  2255679K->1919340K(3161044K), 0.0071279 secs]
12.066: [Full GC (Allocation Failure)  1919340K->1279999K(3161044K), 0.4125161 secs]
12.488: [Full GC (Allocation Failure)  1279999K->1279625K(4019584K), 0.4005816 secs]
